X,Y,Z
0.0,10.0,0.0
1.2659245357374926,9.919548128307953,0.20202020202020202
2.511479871810792,9.679487013963563,0.40404040404040403
3.716624556603276,9.283679330160727,0.6060606060606061
4.861967361004687,8.738493770697849,0.8080808080808081
5.929079290546405,8.052702575310585,1.0101010101010102
6.90079011482112,7.237340381050702,1.2121212121212122
7.761464642917568,6.305526670845225,1.4141414141414141
8.497254299495143,5.272254676105024,1.6161616161616161
9.096319953545182,4.154150130018866,1.8181818181818181
9.54902241444074,2.969203753282747,2.0202020202020203
9.84807753012208,1.7364817766693041,2.2222222222222223
9.98867339183008,0.4758191582374218,2.4242424242424243
9.968547759519424,-0.7924995685678832,2.6262626262626263
9.788024462147787,-2.048066680651905,2.8282828282828283
9.450008187146684,-3.2706796331742165,3.0303030303030303
8.95993774291336,-4.440666126057741,3.2323232323232323
8.325698546347715,-5.539200638661103,3.4343434343434343
7.557495743542586,-6.548607339452847,3.6363636363636362
6.667690005162916,-7.4526444967575465,3.8383838383838382
5.670598638627704,-8.236765814298328,4.040404040404041
4.582265217274105,-8.888354486549234,4.242424242424242
3.420201433256689,-9.396926207859083,4.444444444444445
2.203105327865408,-9.75429786885407,4.646464646464646
0.9505604330418244,-9.954719225730846,4.848484848484849
-0.3172793349806741,-9.994965423831852,5.05050505050505
-1.5800139597334963,-9.874388886763944,5.252525252525253
-2.81732556841429,-9.594929736144977,5.454545454545454
-4.009305354066134,-9.161084574320697,5.656565656565657
-5.136773915734061,-8.579834132349772,5.858585858585858
-6.181589862206053,-7.860530947427874,6.0606060606060606
-7.126941713788626,-7.014748877063216,6.262626262626262
-7.957618405308321,-6.056096871376666,6.4646464646464645
-8.660254037844389,-4.9999999999999964,6.666666666666667
-9.223542941045814,-3.863451256931287,6.8686868686868685
-9.638421585599419,-2.664738136900355,7.070707070707071
-9.898214418809326,-1.4231483827328613,7.2727272727272725
-9.99874127673875,-0.15865963834808497,7.474747474747475
-9.93838464461254,1.1083819990101087,7.6767676767676765
-9.718115683235416,2.357589355094275,7.878787878787879
-9.341478602651064,3.568862215918725,8.080808080808081
-8.814533634475824,4.722710747726821,8.282828282828282
-8.145759520503358,5.800569095711979,8.484848484848484
-7.345917086575337,6.785094115571316,8.686868686868687
-6.427876096865396,7.660444431189778,8.88888888888889
-5.406408174555982,8.412535328311808,9.09090909090909
-4.297949120891719,9.02926538286621,9.292929292929292
-3.1203344569848706,9.500711177409455,9.494949494949495
-1.8925124436040974,9.819286972627069,9.696969696969697
-0.6342391965656452,9.979866764718844,9.8989898989899
0.6342391965656403,9.979866764718844,10.1010101010101
1.8925124436040928,9.819286972627069,10.303030303030303
3.120334456984866,9.500711177409455,10.505050505050505
4.297949120891715,9.029265382866212,10.707070707070708
5.406408174555963,8.41253532831182,10.909090909090908
6.4278760968653845,7.660444431189787,11.11111111111111
7.345917086575328,6.785094115571326,11.313131313131313
8.145759520503356,5.8005690957119835,11.515151515151516
8.814533634475817,4.7227107477268335,11.717171717171716
9.341478602651067,3.5688622159187213,11.919191919191919
9.718115683235418,2.357589355094271,12.121212121212121
9.938384644612542,1.1083819990101045,12.323232323232324
9.99874127673875,-0.1586596383480712,12.525252525252524
9.898214418809328,-1.4231483827328475,12.727272727272727
9.63842158559942,-2.6647381369003504,12.929292929292929
9.223542941045816,-3.8634512569312824,13.131313131313131
8.660254037844382,-5.000000000000008,13.333333333333334
7.95761840530833,-6.056096871376656,13.535353535353535
7.1269417137886295,-7.014748877063211,13.737373737373737
6.1815898622060566,-7.860530947427872,13.93939393939394
5.1367739157340715,-8.579834132349765,14.141414141414142
4.00930535406615,-9.16108457432069,14.343434343434343
2.817325568414316,-9.594929736144968,14.545454545454545
1.5800139597335057,-9.874388886763942,14.747474747474747
0.3172793349806879,-9.99496542383185,14.94949494949495
-0.9505604330418282,-9.954719225730846,15.15151515151515
-2.203105327865403,-9.75429786885407,15.353535353535353
-3.42020143325668,-9.396926207859087,15.555555555555555
-4.5822652172741085,-8.888354486549233,15.757575757575758
-5.670598638627693,-8.236765814298337,15.959595959595958
-6.667690005162926,-7.452644496757538,16.161616161616163
-7.557495743542577,-6.5486073394528574,16.363636363636363
-8.325698546347706,-5.5392006386611135,16.565656565656564
-8.95993774291336,-4.440666126057742,16.767676767676768
-9.450008187146683,-3.270679633174221,16.96969696969697
-9.788024462147789,-2.0480666806518992,17.171717171717173
-9.968547759519423,-0.7924995685678992,17.373737373737374
-9.98867339183008,0.4758191582374036,17.575757575757574
-9.848077530122081,1.7364817766692973,17.77777777777778
-9.549022414440742,2.9692037532827382,17.97979797979798
-9.09631995354519,4.15415013001885,18.18181818181818
-8.497254299495145,5.272254676105021,18.383838383838384
-7.761464642917573,6.30552667084522,18.585858585858585
-6.900790114821116,7.237340381050705,18.78787878787879
-5.9290792905464045,8.052702575310587,18.98989898989899
-4.861967361004705,8.73849377069784,19.19191919191919
-3.716624556603267,9.283679330160728,19.393939393939394
-2.511479871810805,9.67948701396356,19.595959595959595
-1.2659245357374929,9.919548128307953,19.7979797979798
-4.898587196589413e-15,10.0,20.0
